day,price
1716,7897.35
1717,8295.39
1718,8252.22
1719,8337.65
1720,8141.52
1721,8054.73
1722,7779.49
1723,7644.9
1724,8435.95
1725,8324.34
1726,7891.56
1727,7903.54
1728,7789.63
1729,7589.52
1730,7438.56
1731,7354.84
1732,7369.8
1733,7390.2
1734,7284.52
1735,7205.18
1736,7287.23
1737,7388.03
1738,7451.3
1739,7511.35
1740,8486.11
1741,8913.3
1742,8773.81
1743,8157.07
1744,7793.36
1745,8488.63
1746,8448.88
1747,7997.11
1748,8157.52
1749,8465.15
1750,8282.43
1751,8460.22
1752,8837.46
1753,8564.31
1754,8667.99
1755,9152.67
1756,9718.44
1757,9425.66
1758,9115.06
1759,8451.34
1760,8415.34
1761,8053.23
1762,7839.73
1763,7783.39
1764,7989.59
1765,7733.34
1766,7613.73
1767,7640.98
1768,7545.35
1769,7421.6
1770,7374.92
1771,7343.58
1772,7397.77
1773,7504.04
1774,7423.66
1775,7521.3
1776,7387.46
1777,7300.98
1778,7086.65
1779,7287.4
1780,6884.86
1781,6542.3
1782,6450.89
1783,6292.09
1784,6226.14
1785,6110.11
1786,6013.83
1787,5996.28
1788,6175.19
1789,6344.33
1790,6422.51
1791,6525.09
1792,6454.89
1793,6217
1794,5979.95
1795,6140.81
1796,6021.19
1797,6143.86
1798,6286.06
1799,6171.99
1800,5957.35
1801,5829.8
1802,5960.42
1803,6113.43
1804,6038.72
1805,5933.8
1806,5768.82
1807,5662.72
1808,5494.66
1809,5878.96
1810,5823.97
1811,5862.03
1812,5930.15
1813,5858.05
1814,5936.98
1815,5753.91
1816,5966.21
1817,6097.04
1818,5843.19
1819,6375.66
1820,6680.32
1821,6533.23
1822,6235.09
1823,6090.83
1824,6193.57
1825,6068.57
1826,6391.65
1827,6246.11
1828,5948.1
1829,5665.86
1830,5452.77
1831,5220.82
1832,5244.6
1833,5325.3
1834,5176.68
1835,5290.02
1836,5724.28
1837,5868.78
1838,5899.26
1839,6083.52
1840,5948.94
1841,6189.55
1842,5812.9
1843,5695.07
1844,5402.49
1845,5371.85
1846,5663.13
1847,5755.48
1848,6191.51
1849,6197.55
1850,6091.18
1851,5964.39
1852,6400.9
1853,6335.37
1854,7691.23
1855,7942.85
1856,9459.11
1857,7934.29
1858,9089.25
1859,8772.37
1860,8817.82
1861,8410.76
1862,8492.88
1863,8824.23
1864,10519.64
1865,11123.34
1866,11472.13
1867,10854.42
1868,10645.22
1869,10954.92
1870,10711.79
1871,10067.91
1872,10344.86
1873,10138.21
1874,10301.77
1875,10902.35
1876,11230.54
1877,10652.83
1878,10936.51
1879,11896.55
1880,11994.12
1881,11984
1882,11562.07
1883,10987.67
1884,10733.99
1885,11165.37
